word	count
said-chair	38079
said-heavy	38058
said-affair	38040
said-became	38021
said-major	37982
affairs	37956
gown	37946
said-possibly	37940
said-shame	37933
said-dying	37870
said-hospital	37840
swore	37830
was-interrupted	37826
was-treated	37818
fellow	37813
bore	37784
collar	37784
secretary	37777
moving	37760
counted	37747
countenance	37739
said-note	37716
said-noble	37689
said-fresh	37675
was-visit	37655
said-guys	37647
catch	37633
asking	37592
said-circumstances	37591
act	37586
moustache	37570
pale	37538
glared	37535
said-presence	37471
said-history	37468
safe	37466
allow	37431
said-escape	37415
said-worst	37393
confidence	37333
said-knowledge	37312
mused	37305
trust	37304
said-writing	37297
said-drunk	37295
said-bother	37278
stick	37272
decision	37225
intention	37211
said-suit	37211
was-remember	37195
said-finish	37182
said-hungry	37172
finds	37154
said-north	37144
courage	37128
passion	37102
said-fellows	37102
said-bought	37087
was-worried	37073
thrown	37057
said-somehow	37046
rested	37024
said-trees	36922
said-class	36867
said-plain	36862
said-swear	36855
lie	36833
present	36825
said-flowers	36823
said-immediately	36798
said-hi	36770
said-bright	36762
wrong	36732
beautiful	36731
blew	36680
said-choose	36667
said-reading	36655
said-needed	36640
drive	36617
said-manage	36597
limbs	36593
was-cut	36562
said-bound	36543
said-stone	36532
picture	36516
said-enemy	36505
said-entirely	36465
said-wise	36438
conversation	36436
said-calling	36435
better	36420
said-spring	36334
said-truly	36280
flew	36264
ended	36260
said-sunday	36254
said-report	36240
backed	36237
grasp	36235
address	36224
frame	36189
toes	36155
said-board	36126
was-relieved	36110
said-check	36098
said-keeping	36049
was-looked	36015
said-sooner	35973
daughters	35957
said-walked	35918
escaped	35917
said-loves	35903
said-spot	35850
explain	35848
said-git	35837
sold	35808
exchanged	35791
was-face	35772
was-persuade	35752
said-information	35735
ashamed	35730
argued	35730
said-kitchen	35697
rifle	35647
night	35640
said-health	35624
said-west	35612
said-blow	35526
said-broke	35515
learn	35484
was-picked	35456
begin	35452
said-personal	35422
said-taste	35418
puts	35417
said-smile	35365
drunk	35352
served	35326
afford	35324
doubted	35312
squeezed	35289
built	35279
said-message	35233
belonged	35207
said-wake	35199
said-foolish	35176
said-object	35158
stammered	35157
said-christmas	35115
lordship	35111
mounted	35104
said-dangerous	35078
quiet	35026
