"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015049614988",5594394,166328404,,"oclcid","Donihe, Kevin L.",,"Portland, OR|Eraserhead Press|c2006.",2006,,"oru",,"Fiction|Demonology|Minimum wage|Rape|Murder|Devil|Cities and towns","Novel","Grape City"
"mdp.39015062850154",5055506,56089578,"PS3563.A8355C642 2003","taggedfantasy","Matheson, Richard,","1926-","Colorado Springs, CO|Edge Books|c2003-",0,2003,"cou","v.1","Fantasy fiction, American|Science fiction, American","Short stories","Collected stories"
"mdp.39015079150150",5931104,297107570,"PN6071.H727P64 2009","taggedfantasy",,,"Nottingham, UK|Solaris|2009.",2009,,"xx ",,"Horror tales|Fantasy fiction","NotFiction|Short stories","POE : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe"
"mdp.39015058073100",4362195,53168079,,"taggedfantasy",,,"New York, N.Y.|Penguin Group|2003.",2003,,"nyu",,"Fantasy fiction, English|Fantasy fiction, American|Science fiction, English|Science fiction, American","Short stories","Firebirds : | an anthology of original fantasy and science fiction"
"mdp.39015074300099",5632377,171021598,"PS3613.O527B58 2007","taggedfantasy","Moning, Karen Marie.",,"New York|Delacorte Press|c2007.",2007,,"nyu",,"Fiction|Magic|Magicians|Fairies|sears|Americans|Ireland|Fantasy fiction","Fiction|Fantasy fiction","Bloodfever"
"mdp.39015049615266",5605614,149562047,,"taggedfantasy","Sargent, Stanley C.",,"Lake Orion, Mich.|Elder Signs Press|2004.",2004,,"miu",,"Horror tales, American|Fantasy fiction, American","Short stories","Ancient Exhumations +2"
"mdp.39015056817326",3851336,49393624,,"taggedfantasy","Eddy, C. M. (Clifford Martin)",,"Narragansett, R.I.|Fenham Pub.|2000, c1973.",2000,,"riu",,"Fantasy fiction, American|Paranormal fiction","Fiction","Exit into eternity : | tales of the bizarre and supernatural"
"pst.000066629801",9815300,228466170,,"taggedfantasy","Brooks, Terry.",,"New York|Ballentine Books|2006, c2005.",2005,,"nyu",,"Shannara (Imaginary place)|Magic|Fantasy|Fiction","Novel","Straken"
"mdp.39015066779920",5116478,74908473,,"taggedfantasy","Garcia, Camille Rose,","1970-","Seattle, Wash.|Fantagraphics|2006.",2006,,"wau",,"Underground comic books, strips, etc|Magic|Fantasy comic books, strips, etc|Animals|Islands|Comic books, strips, etc|Bottles|United States","UnknownGenre","The magic bottle"
"mdp.39015077606070",5808934,154744171,"PN6120.95.H727N49x 2008","oclcid",,,"San Francisco|Tachyon Publications|2008.",2008,,"cau",,"Horror tales|Science fiction","Bibliographies|Short stories|Fantasy fiction|Horror fiction","The new weird"
"mdp.39015064885208",5251898,62172942,"PR6118.O28L585 2006","fuzzymatch","Robson, Justina.",,"New York|Bantam Books|2006.",2006,,"nyu",,"Fiction|Gods|Love stories","Novel|Love stories|Science fiction","Living next door to the god of love"
"mdp.39015081739032",6838182,188641494,"PS648.S3F86 2006","taggedfantasy",,,"New York|Ibooks|Berkeley, CA|Distributed by Publishers Group West|2006",2006,,"nyu",,"Fiction|Fantasy fiction, American|Science fiction, American|Anthropomorphism","Bibliographies|Short stories","Furry : | the best anthropomorphic fiction ever"
"mdp.39015067674435",5418230,76962912,"PS648.H6B458 2006","taggedfantasy",,,"Holicong, PA|Prime Books|2006.",2006,,"pau",,"Horror tales|Fantasy fiction|Collections","NotFiction|Horror fiction","Best new fantasy"
"mdp.39015063319969",5147557,62302610,"PS3570.U85S55 2006","fuzzymatch","Tuttle, Lisa,","1952-","New York|Bantam Books|2006.",2006,,"nyu",,,"Novel","The silver bough"
"mdp.39015060661678",4966427,56368590,"PS3515.O842A6 2005","taggedfantasy","Howard, Robert E. (Robert Ervin),","1906-1936.","Lincoln|University of Nebraska Press|c2005.",2005,1935,"nbu",,"Horror tales, American|Fantasy fiction, American","Fiction","The black stranger and other American tales"
"mdp.39015032254008",2953871,7404577,,"fuzzymatch","Stoker, Bram,","1847-1912.","New York|Paperback Library|1966.",1966,1909,"nyu",,,"Fiction","The lady of the shroud ; | a paperback library gothic"
"uc1.32106007514398",7118272,7991324,,"fuzzymatch","Andersen, H. C. (Hans Christian),","1805-1875.","Harmondsworth, Middlesex|Penguin Books|1981.",1981,1844,"enk",,"Fairy tales|Denmark","NotFiction","Hans Andersen's fairy tales"
"pst.000060921147",12265398,163585263,"PR4074.P318 2006","taggedfantasy","Barrie, J. M. (James Matthew),","1860-1937.","Gloucester, UK|Dodo Press|2006",2006,1906,"enk",,"Fantasy fiction, English|Peter Pan (Fictitious character)|Fiction","Short stories","Peter Pan in Kensington Gardens"
"inu.30000124502158",9397099,257555537,"PS3515.O842A6 2008","taggedfantasy","Howard, Robert E. (Robert Ervin),","1906-1936.","Nevada City, Calif.|Black Bart Books|2008.",2008,1934,"cau",,"Fantasy fiction, American","Fiction","""--and their memory was a bitter tree-- "" : | Queen of the Black Coast and others"
"pst.000014560545",7057040,6271425,,"fuzzymatch","Wells, H. G. (Herbert George),","1866-1946.","New York|Scholastic Book Services|c1977.",1977,1905,"xx ",,,"NotFiction","The empire of the ants, and other stories"
"pst.000059263739",7052714,42875902,,"taggedfantasy","Carroll, Lewis,","1832-1898.","London|Creation|2000, 1999.",2000,1871,"enk",,"Fantasy fiction, English|Alice (Fictitious character : Carroll)|Juvenile fiction","Fiction","Alice through the looking glass"
"inu.30000111816496",10563720,137823,"PZ3.C355Ki13PS1284","fuzzymatch","Chambers, Robert W. (Robert William),","1865-1933.","New York|Dover Publications|1970",1970,1895,"nyu",,"Horror tales, American","Fiction","The king in yellow, | and other horror stories. | $c: Selected with an introd. by E. F. Bleiler."
"mdp.39015000638711",256120,4494940,"PZ3.L518Pu 1978PR4879.L7","taggedfantasy","Le Fanu, Joseph Sheridan,","1814-1873.","New York|Garland Pub.|1979.",1978,1880,"nyu","v.2","Fantasy fiction, English","Fiction|Bibliographies","The Purcell papers"
