volid	author	title	firstpub	prewarmean	postwarmean	unweightpremean	unweightpostmean	prestd	poststd	diff	ttest	pval
pst.000021946516	Dick, Philip K	We can remember it for you wholesale	1966	0.725745496678	0.94305279644	0.744045681504	0.962053556397	0.157207729663	0.0697278318534	0.217307299762	-10.5178604489	1.38503260381e-18
pst.000024653916	Heinlein, Robert A. (Robert Anson)	The rolling stones	1952	0.300009965233	0.893198741274	0.280886385013	0.917450724948	0.116000448043	0.0887075199443	0.593188776041	-27.9282230292	1.23023482371e-38
pst.000026522340	Van Vogt, A. E. (Alfred Elton)	The players of Null-A	1948	0.960276915601	0.992241100923	0.971180957164	0.995141518106	0.0400834894355	0.0114121622321	0.0319641853229	-4.21980177484	6.63347004382e-05
pst.000029136407	Vonnegut, Kurt	The sirens of Titan.	1959	0.642741964679	0.655356634542	0.668525442335	0.660813323243	0.217373098383	0.292856889637	0.0126146698627	0.100866969632	0.920543189247
pst.000031216067	Farmer, Philip Jos̩	The classic Philip Jos̩ Farmer, 1952-1964	1958	0.707123437486	0.841554930322	0.73417347751	0.872289605976	0.129146270975	0.146818203598	0.134431492836	-4.31194780601	7.31020305519e-05
pst.000032564310	Clarke, Arthur C. (Arthur Charles)	Prelude to space	1954	0.947536988125	0.961076421509	0.961943240971	0.976985922357	0.0448680260316	0.0459253870766	0.0135394333836	-1.27325872171	0.211604879459
pst.000044217853	Burgess, Anthony	A clockwork orange	1962	0.0634500170773	0.21785448874	0.0501402550837	0.210133946308	0.0509396212586	0.151166410706	0.154404471663	-5.0692957413	2.72876589169e-05
pst.000058048559	Heinlein, Robert A. (Robert Anson)	The day after tomorrow	1949	0.742561436686	0.944934951399	0.771374796657	0.960656069855	0.166405335932	0.0597634829964	0.202373514712	-7.53109184842	6.2915893442e-11
uc1.$b101738	Mantley, John	The 27th day.	1957	0.929502711822	0.922985425658	0.946995683422	0.945738900877	0.0570625632469	0.071083485822	-0.00651728616405	0.0744631037234	0.941089706096
uc1.$b102273	Gellhorn, Martha	Liana	1944	0.0181271109995	0.0245729746788	0.0117611733707	0.0166846331967	0.0205502001651	0.0379989299188	0.00644586367927	-0.588731490373	0.560695238271
