docid	htid	totaltokens	skipped_pages	path
mdp.39015031447595_1	mdp.39015031447595	31485	0	../data/mdp.39015031447595_1.tsv
nyp.33433075818801_0	nyp.33433075818801	66328	0	../data/nyp.33433075818801_0.tsv
nyp.33433075818801_1	nyp.33433075818801	67077	0	../data/nyp.33433075818801_1.tsv
nyp.33433076047871_0	nyp.33433076047871	55980	0	../data/nyp.33433076047871_0.tsv
nyp.33433076047871_1	nyp.33433076047871	57056	0	../data/nyp.33433076047871_1.tsv
uiuo.ark+=13960=t3223k32d	uiuo.ark+=13960=t3223k32d	57502	0	../data/uiuo.ark+=13960=t3223k32d.tsv
mdp.39015035566440_0	mdp.39015035566440	65382	0	../data/mdp.39015035566440_0.tsv
mdp.39015035566440_1	mdp.39015035566440	69113	0	../data/mdp.39015035566440_1.tsv
uc1.32106014427691_0	uc1.32106014427691	55487	0	../data/uc1.32106014427691_0.tsv
uc1.32106014427691_1	uc1.32106014427691	58239	0	../data/uc1.32106014427691_1.tsv
uc1.32106014427691_2	uc1.32106014427691	55506	0	../data/uc1.32106014427691_2.tsv
nyp.33433075765705_0	nyp.33433075765705	35855	0	../data/nyp.33433075765705_0.tsv
nyp.33433075765705_1	nyp.33433075765705	40474	0	../data/nyp.33433075765705_1.tsv
dul1.ark+=13960=t2h713c5c_0	dul1.ark+=13960=t2h713c5c	50040	0	../data/dul1.ark+=13960=t2h713c5c_0.tsv
dul1.ark+=13960=t2h713c5c_1	dul1.ark+=13960=t2h713c5c	51885	0	../data/dul1.ark+=13960=t2h713c5c_1.tsv
dul1.ark+=13960=t2h713c5c_2	dul1.ark+=13960=t2h713c5c	46597	0	../data/dul1.ark+=13960=t2h713c5c_2.tsv
mdp.39015019922320	mdp.39015019922320	34885	0	../data/mdp.39015019922320.tsv
uc1.$b813836_0	uc1.$b813836	49052	0	../data/uc1.$b813836_0.tsv
uc1.$b813836_1	uc1.$b813836	48706	0	../data/uc1.$b813836_1.tsv
nyp.33433074929393_0	nyp.33433074929393	51991	0	../data/nyp.33433074929393_0.tsv
nyp.33433074929393_1	nyp.33433074929393	54591	0	../data/nyp.33433074929393_1.tsv
nyp.33433074929393_2	nyp.33433074929393	51294	0	../data/nyp.33433074929393_2.tsv
uc2.ark+=13960=t4mk65h9r_0	uc2.ark+=13960=t4mk65h9r	38783	0	../data/uc2.ark+=13960=t4mk65h9r_0.tsv
uc2.ark+=13960=t4mk65h9r_1	uc2.ark+=13960=t4mk65h9r	39932	0	../data/uc2.ark+=13960=t4mk65h9r_1.tsv
uva.x001752097_0	uva.x001752097	45946	0	../data/uva.x001752097_0.tsv
uva.x001752097_1	uva.x001752097	45237	0	../data/uva.x001752097_1.tsv
mdp.39015006963881_0	mdp.39015006963881	45449	0	../data/mdp.39015006963881_0.tsv
mdp.39015006963881_1	mdp.39015006963881	46441	0	../data/mdp.39015006963881_1.tsv
