docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title
uiuo.ark+=13960=t8w95tm1j_0,uiuo.ark+=13960=t8w95tm1j,30033,random,"Tayleure, Floyd.",,London;Newby;1852.,1852,1852,v.1,,,Professions
uiuo.ark+=13960=t8w95tm1j_1,uiuo.ark+=13960=t8w95tm1j,30960,random,"Tayleure, Floyd.",,London;Newby;1852.,1852,1852,v.1,,,Professions
nyp.33433082300629,nyp.33433082300629,18453,random,"Lermont, L.",,New Orleans;Burnett & Bostwick;1854.,1854,1854,,Children's literature,,Aunt Patty's mirror;
uiuo.ark+=13960=t6rx9xb52,uiuo.ark+=13960=t6rx9xb52,54327,random,"Rowcroft, Albert E.",,London;Tinsley Brothers;1875.,1857,1857,v.2,,,Philip Darrell
uc2.ark+=13960=t5gb1zf4p_0,uc2.ark+=13960=t5gb1zf4p,46005,random,"Kingston, William Henry Giles,",,London;T. Nelson and sons;1859.,1859,1859,,Oceania;Juvenile fiction;Whaling,,Old Jack
uc2.ark+=13960=t5gb1zf4p_1,uc2.ark+=13960=t5gb1zf4p,45791,random,"Kingston, William Henry Giles,",,London;T. Nelson and sons;1859.,1859,1859,,Oceania;Juvenile fiction;Whaling,,Old Jack
uc2.ark+=13960=t8sb40745_0,uc2.ark+=13960=t8sb40745,52015,random,"Lytton, Edward Bulwer Lytton,",,Edinburgh;London;W. Blackwood and Sons;1859-1874.,1859,1859,v.11,,,Novels of Sir Edward Bulwer Lytton
uc2.ark+=13960=t8sb40745_1,uc2.ark+=13960=t8sb40745,54117,random,"Lytton, Edward Bulwer Lytton,",,Edinburgh;London;W. Blackwood and Sons;1859-1874.,1859,1859,v.11,,,Novels of Sir Edward Bulwer Lytton
wu.89098867799,wu.89098867799,17131,random,"Leslie, Madeline,",,"Boston;Woolworth, Ainsworth & Co.;New York;A.S. Barnes & Co.;c1860;([Boston;Electrotyped at the Boston Stereotype Foundry)",1860,1860,,Pets;Parent and child;Conduct of life;Children;Games;Early works to 1900;Juvenile fiction;Brothers and sisters,,Little Frankie and his mother
uc1.b3322521_0,uc1.b3322521,32567,random,"Gladstone, Alfred.",,London;T. Cautley Newby;1863.,1863,1863,v. 1,,,The man of the hour
uc1.b3322521_1,uc1.b3322521,31866,random,"Gladstone, Alfred.",,London;T. Cautley Newby;1863.,1863,1863,v. 1,,,The man of the hour
uc2.ark+=13960=t5s75b83s_0,uc2.ark+=13960=t5s75b83s,53887,random,"Ainsworth, William Harrison,",,London;New York;Routledge;1880.,1880,1863,,,,"Cardinal Pole; or, The days of Philip and Mary"
uc2.ark+=13960=t5s75b83s_1,uc2.ark+=13960=t5s75b83s,51590,random,"Ainsworth, William Harrison,",,London;New York;Routledge;1880.,1880,1863,,,,"Cardinal Pole; or, The days of Philip and Mary"
uc2.ark+=13960=t5s75b83s_2,uc2.ark+=13960=t5s75b83s,51967,random,"Ainsworth, William Harrison,",,London;New York;Routledge;1880.,1880,1863,,,,"Cardinal Pole; or, The days of Philip and Mary"
njp.32101020949853_0,njp.32101020949853,40990,random,"Thayer, William Makepeace,",,"Boston;Walker, Wise and co.;1864.",1864,1864,,,,"The pioneer boy, and how he became president"
njp.32101020949853_1,njp.32101020949853,41150,random,"Thayer, William Makepeace,",,"Boston;Walker, Wise and co.;1864.",1864,1864,,,,"The pioneer boy, and how he became president"
uc2.ark+=13960=t8hd7s722_0,uc2.ark+=13960=t8hd7s722,68941,random,"Charles, Elizabeth Rundle,",,New York;M.W. Dodd;1866.,1866,1866,,"Wesley, John;1703-1791;Whitefield, George;Wesley, Charles;1707-1788;Fiction;1714-1770",,Diary of Kitty Trevylyan
uc2.ark+=13960=t8hd7s722_1,uc2.ark+=13960=t8hd7s722,68221,random,"Charles, Elizabeth Rundle,",,New York;M.W. Dodd;1866.,1866,1866,,"Wesley, John;1703-1791;Whitefield, George;Wesley, Charles;1707-1788;Fiction;1714-1770",,Diary of Kitty Trevylyan
nyp.33433075738199_0,nyp.33433075738199,68508,random,"Bolanden, Conrad von,",,Philadelphia;E. Cummiskey;1867.,1867,1867,,"History;Fiction;Germany;Frederick I, 1152-1190",,Barbarossa
nyp.33433075738199_1,nyp.33433075738199,66888,random,"Bolanden, Conrad von,",,Philadelphia;E. Cummiskey;1867.,1867,1867,,"History;Fiction;Germany;Frederick I, 1152-1190",,Barbarossa
uva.x030736355,uva.x030736355,43126,random,"Grahame, Nellie,",,Philadelphia;Presbyterian Board of Publication;c1869.,1869,1869,,,,Mr. Wallingford's mistake
uiuo.ark+=13960=t2x352b7b_0,uiuo.ark+=13960=t2x352b7b,54588,random,"Blackmore, R. D.",,New York;Boston;T.Y. Crowell & Co.;c1893,1893,1869,v.1,"Monmouth's Rebellion, 1685;Fiction",,Lorna Doone
uiuo.ark+=13960=t2x352b7b_1,uiuo.ark+=13960=t2x352b7b,56107,random,"Blackmore, R. D.",,New York;Boston;T.Y. Crowell & Co.;c1893,1893,1869,v.1,"Monmouth's Rebellion, 1685;Fiction",,Lorna Doone
uiuo.ark+=13960=t2x352b7b_2,uiuo.ark+=13960=t2x352b7b,54315,random,"Blackmore, R. D.",,New York;Boston;T.Y. Crowell & Co.;c1893,1893,1869,v.1,"Monmouth's Rebellion, 1685;Fiction",,Lorna Doone
uva.x001038370_0,uva.x001038370,133158,random,"Auerbach, Berthold,",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden
uva.x001038370_1,uva.x001038370,129877,random,"Auerbach, Berthold,",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden
uva.x001038370_2,uva.x001038370,130650,random,"Auerbach, Berthold,",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden
uva.x001038370_3,uva.x001038370,134947,random,"Auerbach, Berthold,",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden
njp.32101068153392_0,njp.32101068153392,69845,random,"Kingsley, Charles,",,"London;Macmillan and co., limited;New York;The Macmillan company;1901-03",1901,1870,vol. 14,,,The life and works of Charles Kingsley
njp.32101068153392_1,njp.32101068153392,68003,random,"Kingsley, Charles,",,"London;Macmillan and co., limited;New York;The Macmillan company;1901-03",1901,1870,vol. 14,,,The life and works of Charles Kingsley
uva.x030592837_0,uva.x030592837,53386,random,"Ross, Miriam.",,London;John Dicks;1871.,1871,1871,,,,Against tide
uva.x030592837_1,uva.x030592837,53962,random,"Ross, Miriam.",,London;John Dicks;1871.,1871,1871,,,,Against tide
wu.89098860778_0,wu.89098860778,62300,random,"King, Katharine",,Boston;J. R. Osgood;1872.,1872,1872,,,,Ethel Mildmay's follies
wu.89098860778_1,wu.89098860778,61544,random,"King, Katharine",,Boston;J. R. Osgood;1872.,1872,1872,,,,Ethel Mildmay's follies
wu.89098860778_2,wu.89098860778,62692,random,"King, Katharine",,Boston;J. R. Osgood;1872.,1872,1872,,,,Ethel Mildmay's follies
uiuo.ark+=13960=t6f19hx11_0,uiuo.ark+=13960=t6f19hx11,41076,random,"Oliphant,",,London;Macmillan;1883.,1883,1873,v.3,,,Hester
uiuo.ark+=13960=t6f19hx11_1,uiuo.ark+=13960=t6f19hx11,41916,random,"Oliphant,",,London;Macmillan;1883.,1883,1873,v.3,,,Hester
uiuo.ark+=13960=t2697r439_0,uiuo.ark+=13960=t2697r439,31523,random,"Maitland, Edward,",,London;Richard Bentley and Son;1873.,1873,1873,v.2,Utopias;Fiction,,By and by
