"docid","recordid","oclc","locnum","tags","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"uiuo.ark+=13960=t5v70457m",1019889,550541,"PZ3.B790P (Office)","fantasy_oclc|juv","Bronte, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,"enk","v. 2",,,"The professor"
"mdp.39015008791066",671595,101937,"PZ3.O133D8PS2485","fantasy_oclc","O'Brien, Fitz James,","1828-1862.","St. Clair Shores, Mich.|Scholarly Press|1970.",1970,1858,"miu",,,"Fiction","The diamond lens and other stories. | $c: With an introd. by Gilbert Seldes. Illus. by Ferdinand Huszti Horvath. New York, W. E. Rudge, 1932."
"uc2.ark+=13960=t17m0k93z",7701214,13315527,,"fantasy_oclc|juv","MacDonald, George,",,"Boston;Loring;185-?",1850,1858,"mau",,,,"Phantastes: A faerie romance for men and women"
"uva.x000889095",9794114,3796471,"PZ3","sf_oclc","Verne, Jules,",,"New York;D. Appleton & Co.;1869.",1869,1863,"nyu",,"Fiction;Aeronautics",,"Five weeks in a balloon; or, Journeys and discoveries in Africa, by three Englishmen"
"nnc1.cr00352934",8412806,82117052,,"fantasy_oclc|juv","Kingsley, Charles,",,"New York;Hurst and Co.;1900?].",1900,1863,"nyu",,"Chimney sweeps;Fairies;Juvenile fiction;Fantasy fiction",,"The water-babies"
"nyp.33433074875372",8666116,13311464,,"fantasy_oclc|juv","Lytton, Edward Robert Bulwer Lytton,",,"London;Chapman;1863.",1863,1863,"enk","v. 1","English fiction",,"The ring of Amasis"
"mdp.39015031602868",1015188,2360175,"PZ3.V594J8","fantasy_loc|juv","Verne, Jules,","1828-1905.","New York|Dodd, Mead|1959].",1959,1864,"nyu",,,"Fiction","A journey to the centre of the earth."
"pst.000031470421",9819426,8153151,"PQ2469.F77","fantasy_oclc","Verne, Jules,","1828-1905.","Garden City, N.Y.|Nelson Doubleday|ca. 1950].",1950,1865,"xxu",,,"NotFiction","From the earth to the moon ; and Round the moon"
"uva.x004152854",9787447,6958548,,"fantasy_oclc|juv","Carroll, Lewis,",,"Philadelphia;H. Altemus;c1896.",1896,1865,"pau",,,,"Alice's adventures in Wonderland"
"mdp.39015003852855",1417619,7880315,,"sf_oclc","MacDonald, George,","1824-1905.","London|Gollanez|1961.",1961,1868,"enk",,,"UnknownGenre","The light princess, | and other tales, being the complete fairy stories of George Macdonald. | $c: With original illus. by Arthur Hughes. Introd. by Roger Lancelyn Green."
"uc2.ark+=13960=t6c24rn6k",7666137,22397624,,"fantasy_oclc","Lucas, John Templeton.",,"London;Warne;1871",1871,1869,"enk",,,,"Prince Ubbely Bubble's new story book"
"mdp.39015004307362",1802393,4633573,,"sf_oclc","Verne, Jules,",,"Boston;G. M. Smith & co.;New York;Douglass & Myers; [etc., etc.;1873.",1873,1870,"mau",,,,"Twenty thousand leagues under the seas;"
"nyp.33433074896071",8666765,4886024,,"sf_oclc","MacDonald, George,",,"New York;A.L. Burt, Publisher;1890?",1890,1871,"nyu",,"English fiction",,"At the back of the north wind"
"njp.32101075985729",10250470,4815457,,"fantasy_oclc|juv","Carroll, Lewis,",,"New York;Macmillan & co.;1875.",1875,1871,"nyu",,,,"Through the looking-glass"
"pst.000059263739",7052714,42875902,,"fantasy_loc|juv","Carroll, Lewis,","1832-1898.","London|Creation|2000, 1999.",2000,1871,"enk",,"Fantasy fiction, English|Alice (Fictitious character : Carroll)|Juvenile fiction","Fiction","Alice through the looking glass"
"uva.x000241492",9784707,1621846,,"fantasy_oclc","Verne, Jules,",,"Philadelphia;Porter & Coates;1873",1873,1872,"xx ",,,,"Around the world in eighty days"
"mdp.39015066637433",1417627,23468897,,"sf_oclc","MacDonald, George,",,"Philadelphia;J.B. Lippincott;190?",1900,1872,"pau",,,,"The princess and the goblin"
"mdp.39015039618577",1365045,53373193,,"sf_loc","Verne, Jules,",,"New York;C. Scribner's sons;1918.",1918,1874,"nyu",,,,"The mysterious island"
"njp.32101013998032",8884394,5655591,,"sf_loc","Ritchie, Anne Thackeray,",,"New York;Harper;1875.",1875,1875,"nyu",,,,"Bluebeard's keys, and other stories"
"mdp.39015028719642",1802385,2128244,,"sf_loc","Verne, Jules,","1828-1905.","Westport, Conn.|Associated booksellers|c1961",1961,1877,"ctu",,,"UnknownGenre","Black diamonds"
