"docid","recordid","oclc","locnum","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title","tags"
"mdp.39015066052757",536930,1703041,,"Gilchrist, Anne Burrows,",,"Boston;Roberts Brothers;1883.",1883,1883,"mau",,"1764-1847;Lamb, Mary",,"Mary Lamb","random"
"uc2.ark+=13960=t4jm29r88",6502457,21963809,,"Oliphant,",,"London;Hurst and Blackett;1883",1883,1883,"enk","v.2",,,"It was a lover and his lass","random"
"njp.32101067647360",8962058,35339833,,"Warden, Florence,",,"London;R. Bentley;1884.",1884,1884,"enk","v.3",,,"The white witch","random"
"njp.32101063877326",9041110,22942084,,"Moira.",,"London;Remington;1884.",1884,1884,"enk","v. 1",,,"Philip Graham","random"
"uiuo.ark+=13960=t06w9ms37",8723513,38660335,,"Bird, Frederick Spencer.",,"London;S. Tinsley;1879.",1885,1885,"enk","v.3",,,"Stonedell Lodge","random"
"uiuo.ark+=13960=t4wh2zx6g",8720626,22332773,,"Hake, Thomas St. E.",,"London;Hurst and Blackett;1886.",1886,1886,"enk","v.2",,,"In letters of gold","random"
"uc1.b601407",6092630,2400165,"PZ3.K843V","Korolenko, Vladimir Galaktionovich,",,"New York;T. Y. Crowell & co.;c1887",1887,1887,"nyu",,,,"The vagrant and other tales","random"
"uc2.ark+=13960=t2z321j88",475615,12962729,,"Blackmore, R. D.",,"n. p. 1887",1887,1887,"xx ","v.2",,,"Springhaven","random"
"uc1.b248453",6501360,13305289,"PZ3.B2396Gav2","Baring-Gould, S.",,"London;Smith, Elder, & Co.;1887.",1887,1887,"enk","v. 3",,,"The Gaverocks;","random"
"wu.89091464040",7459755,1611069,"PQ2349.A4E5 1912","Maupassant, Guy de,",,"Leslie-Judge;1912.",1912,1888,"xx ","v.2",,,"Selected stories;","random"
"uiuo.ark+=13960=t2697hc03",8721459,13347440,,"Edmonds,",,"London;Remington;1888.",1888,1888,"enk","v.1",,,"Mary Myles, a study","random"
"uc2.ark+=13960=t8rb6wm87",7677975,13025909,,"Arthur, T. S.",,"Philadelphia;Hubbard Brothers;1888.",1888,1888,"pau",,,,"The mother's rule, or, The right way and the wrong way","random"
"uc1.b308305",6538792,1870491,"PZ7.M926De","Munroe, Kirk,",,"New York;Harper & Brothers;1888.",1888,1888,"nyu",,,,"Derrick Sterling;","random"
"nyp.33433081838777",8584144,,,"Steere, Edward,",,"London;Society for Promoting Christian Knowledge;1889",1889,1889,"enk",,"Swahili language;Tales, Swahili;Texts",,"Swahili tales, as told by natives of Zanzibar","random"
"nnc1.cu11651695",8421504,7502948,,"Harte, Bret,",,"New York;Sully and Kleinteich;c1889-1903",1889,1889,"nyu","v.12",,,"Stories and tales","random"
"nyp.33433074870902",8669184,37257963,,"Hocking, Silas K.",,"London [etc.;F. Warne and Co.;1890.",1890,1890,"enk",,"English fiction",,"Her Benny","random"
"uc2.ark+=13960=t7tm73f8z",7683840,6903163,,"Optic, Oliver,",,"Boston;Lee and Shepard;c1890.",1890,1890,"mau",,"Civil War, 1861-1865;History;United States;Juvenile fiction",,"On the blockade","random"
"uc1.l0065065831",11159600,6997928,,"Towle, George M.",,"New York;T. Nelson;1891.",1891,1891,"nyu",,"Gama, Vasco da;1469-1524;Voyages and travels",,"Vasco da Gama","random"
"uc2.ark+=13960=t3st7fp5f",7682068,5761834,,"Munday, John William,",,"Chicago;McClurg;1891.",1891,1891,"ilu",,,,"The Spanish galleon","random"
"uc1.b4104371",6155840,839405,"PS2752.M3 1891","Saltus, Edgar,",,"New York;Brentano's;1891",1891,1891,"nyu",,"Saint;Mary Magdalene;Fiction",,"Mary Magdalen","random"
"uiuo.ark+=13960=t51g1bt8f",8724152,504154753,,"Spender, Lily,",,"London;Hutchinson & Co.;1892.",1892,1892,"enk","v.3",,,"A Waking","random"
"wu.89092544006",115981,2687675,"PS1927.C6 1892","Higginson, Thomas Wentworth,",,"New York;Harper and brothers;1892.",1892,1892,"nyu",,,,"Concerning all of us","random"
"nyp.33433068260151",8624423,5349270,"PN6110.H4M7","Morris, Harrison S.",,"Philadelphia;J.B. Lippincott company;1892.",1892,1892,"pau","v. 2","Christmas stories;Christmas poetry",,"In the yule-log glow","random"
"uiuo.ark+=13960=t66403g7k",8721192,20339831,,"Deccan, Hilary.",,"London;Hurst and Blackett;1892.",1892,1892,"enk","v.3",,,"Light in the offing","random"
"nyp.33433074850656",8665048,1542724,,"Harte, Bret,",,"New York;Collier;c1892",1892,1892,"xx ",,,,"Colonel Starbottle's client. Flip. Found at Blazing Star","random"
"uc1.$b809234",7939035,2879361,,"Holley, Marietta,",,"New York;Funk & Wagnalls Co.;1893.",1893,1893,"nyu",,,,"Samantha at the World's Fair","random"
"uc2.ark+=13960=t77s7pf8f",7687762,13366326,,"Farjeon, B. L.",,"London;F.V. White;1893.",1893,1893,"enk","v.1",,,"The march of fate","random"
"mdp.39015005603967",584531,6414549,"PZ3.B7921Ear","Brooks, Byron Alden,",,"Boston, Mass.;Arena publishing company;1893.",1893,1893,"mau",,,,"Earth revisited","random"
"uiuo.ark+=13960=t7vm4x99r",8720405,22615567,,"Wilkins, W. H.",,"London;Hutchinson;1895.",1895,1895,"enk","v.3",,,"The holy estate","random"
"njp.32101064912353",9409257,13368002,,"Russell, William Clark,",,"London;Chatto & Windus;1896.",1896,1896,"enk","v. 2",,,"The tale of the ten","random"
"uc2.ark+=13960=t8qb9vv8s",7663222,735296,,"James, Henry,",,"New York;The Macmillan Company;1896.",1896,1896,"xx ",,,,"The other house","random"
"njp.32101063582538",8666490,7548013,"PZ3.K459C","Kernahan, Coulson,",,"New York;Dodd, Mead and Company;1896.",1896,1896,"nyu",,,,"Captain Shannon","random"
"nyp.33433004008573",8590553,37708460,,"Dorsey, Ella Loraine.",,"New York;Cincinnati [etc.;Benziger Brothers;1897.",1897,1897,"nyu",,,,"The taming of Polly","random"
"nyp.33433074938766",8670344,37299164,,"Bullock, Shan F.,",,"London;J. Bowden [etc., etc.;1898.",1898,1898,"enk",,"Irish fiction",,"The charmer;","random"
"nyp.33433074828249",8657711,1617213,"PZ3.B292At","Baskett, James Newton,",,"New York, London;The Macmillan company;1898.",1898,1898,"xx ",,,,"""At you-all's house"";","random"
"miun.abj8105.0001.001",320900,2583157,,"King, Charles,",,"London;New York [etc.;F. T. Neely;c1899",1899,1899,"enk",,,,"Found in the Philippines;","random"
"nyp.33433074851910",778759,620587,,"Cable, George Washington,",,"New York;C. Scribner's sons;1899.",1899,1899,"nyu",,,,"Strong hearts","random"
"nyp.33433082357611",589479,6415829,,"Otis, James,",,"New York;T. Y. Crowell & co.;1900",1900,1900,"nyu",,"Children's literature",,"Aunt Hannah and Seth","random|juv"
"inu.32000000656480",11813758,23225310,,"Sims, George R.,",,"London;Chatto & Windus;1900.",1900,1900,"enk",,,,"Without the limelight;","random"
"uc1.b4669500",11158300,,,"Becke, Louis,",,"New York City;New Amsterdam Book Co.;1901.",1901,1901,"   ",,,,"By rock and pool on an Austral shore","random"
"nyp.33433076091259",8657686,26291301,,"Fraser, Hugh,",,"Philadelphia;Lippincott;1901.",1901,1901,"pau",,,,"A little grey sheep","random"
"uc2.ark+=13960=t1ng4vx0r",7701462,1464692,,"Merriman, Henry Seton,",,"London;Smith, Elder;1901.",1901,1901,"   ",,,,"The velvet glove","random"
"nyp.33433074940226",8663870,13708845,"PZ3.B647Mn","Boothby, Guy Newell,",,"New York;D. Appleton and Company;1901.",1901,1901,"nyu",,,,"My Indian queen;","random"
"mdp.39076002630338",9930083,39020455,,"Coolidge, Susan,",,"Boston;Little, Brown, and Co.;c1901;(Cambridge;John Wilson and Son)",1901,1901,"mau",,"Conduct of life;Children;Juvenile fiction",,"Uncle and aunt","random|juv"
"nyp.33433075753743",8667609,18337267,,"Sturgis, Julian,",,"New York;Scribner;1901.",1901,1901,"xx ",,"English fiction",,"Stephen Calinari","random"
"uc2.ark+=13960=t3319t73t",479608,647020,"PZ3.H84P","Howells, William Dean,",,"New York;London;Harper & brothers;1901.",1901,1901,"nyu",,,,"A pair of patient lovers","random"
"nyp.33433076023112",8691882,10331973,,"Nicolls, William Jasper,",,"Philadelphia;London;J.B. Lippincott Co.;1902.",1902,1902,"pau",,,,"Graystone;","random"
"uc2.ark+=13960=t8hd7qw4q",7668470,21434747,,"Murray, Charles Theodore,",,"Philadelphia;and London;J.B. Lippincott Co.;1902.",1902,1902,"pau",,,,"Mlle. Fouchette","random"
"uc2.ark+=13960=t9t14vh71",7684118,18807292,,"Gunter, Archibald Clavering,",,"New York;The Home Publishing company;1903, c1902",1902,1902,"   ",,,,"The spy company ;","random"
"uc2.ark+=13960=t3707xt49",6541615,4985672,"PS3539.I4995B8 1903","Tilford, Tilden,",,"New York;D. Appleton and Company;1903.",1903,1903,"nyu",,,,"Butternut Jones","random"
"uc1.b3549033",6672792,1712482,,"Wiggin, Kate Douglas Smith,",,"New York;Grosset & Dunlap;1903",1903,1903,"nyu",,,,"Rebecca of Sunnybrook farm","random"
"uc2.ark+=13960=t74t6j07h",6501591,27003864,,"Cullum, Ridgwell,",,"New York;A.L. Burt;1903",1903,1903,"nyu",,,,"The story of the Foss River ranch","random"
"mdp.39015000604424",391347,1861151,,"Gissing, George,",,"London;Archibald Constable and Company;1904.",1904,1904,"enk",,,,"Veranilda","random"
"mdp.39015015358206",471528,33348396,,"Benson, Robert Hugh,",,"London;Isbister & co.;1904.",1904,1904,"enk",,,,"By what authority?","random"
